page_number,type,x0,y0,x1,y1,x0mm,y0mm,x1mm,y1mm
1,rectangle,59.52799987792969,547.22900390625,372.0479736328125,652.4650268554688,21.00015551249186,193.05023193359372,131.25025736490883,230.17516225179034
1,rectangle,104.1729965209961,631.6309814453125,550.6300048828125,715.6069946289062,36.74991821712917,222.8253740098741,194.2500295003255,252.45024532741968
1,rectangle,104.1729965209961,631.6300048828125,372.0469970703125,652.4650268554688,36.74991821712917,222.8250295003255,131.24991285536024,230.17516225179034
1,rectangle,0.0,63.14404296875,184.52499389648438,150.06201171875,0.0,22.275815158420137,65.09631729125977,52.93854302300347
1,vector_path,0.0,137.31781005859375,0.0,143.37380981445312,0.0,48.44267188178168,0.0,50.579094017876514
1,vector_path,0.0,143.3739013671875,0.0,144.8719024658203,0.0,50.5791263156467,0.0,51.10758781433105
1,vector_path,0.0,144.871826171875,0.0,150.06182861328125,0.0,51.10756089952257,0.0,52.9384784274631
1,vector_path,0.0,132.7008056640625,0.0,137.31781005859375,0.0,46.81389533148871,0.0,48.44267188178168
1,vector_path,-27.987899780273438,67.37902069091797,-10.248900413513184,73.10401916503906,-9.873509089152018,23.76982118818495,-3.6155843125449283,25.789473427666557
1,vector_path,0.0,106.00088500976562,0.0,107.02288818359375,0.0,37.39475665622287,0.0,37.75529666476779
1,rectangle,-0.000400543212890625,137.26148986816406,19.139598846435547,143.3734893798828,-0.00014130274454752603,48.42280337015787,6.752025148603651,50.57898097568088
1,vector_path,0.0,143.3739013671875,2.552000045776367,144.8719024658203,0.0,50.5791263156467,0.9002889050377739,51.10758781433105
1,vector_path,2.552299976348877,139.2576904296875,16.588300704956055,143.37368774414062,0.9003947138786315,49.12701856825086,5.851983859803941,50.57905095418294
1,rectangle,0.0004000663757324219,143.3739013671875,19.139400482177734,150.06190490722656,0.00014113452699449327,50.5791263156467,6.751955170101589,52.93850534227159
1,rectangle,0.0,129.01580810546875,19.138999938964844,138.6258087158203,0.0,45.513910081651474,6.751813867357042,48.904104741414386
1,vector_path,10.248900413513184,67.37902069091797,27.987899780273438,73.10401916503906,3.6155843125449283,23.76982118818495,9.873509089152018,25.789473427666557
1,rectangle,0.0,104.8962173461914,19.138999938964844,107.02322387695312,0.0,37.005054452684185,6.751813867357042,37.75541508992513
1,vector_path,16.570100784301758,143.3817138671875,19.11910057067871,144.876708984375,5.845563332239786,50.58188239203559,6.744793812433878,51.10928344726562
1,vector_path,35.00699996948242,84.67999267578125,63.97999954223633,113.65301513671875,12.349691655900742,29.873219638400606,22.57072206073337,40.09425811767578
1,vector_path,35.10890197753906,84.78298950195312,63.87689971923828,113.55098724365234,12.385640419854058,29.909554629855684,22.534350734286836,40.05826494428846
1,vector_path,35.15679931640625,84.84722900390625,49.54079818725586,99.21422576904297,12.402537536621093,29.93221689860026,17.47689269383748,35.00057409074571
1,vector_path,35.67639923095703,104.29622650146484,36.67539978027344,104.74822998046875,12.58584083980984,36.79339101579454,12.938266033596461,36.95284779866536
1,vector_path,35.74660110473633,104.45580291748047,36.739601135253906,104.9197998046875,12.610606500837537,36.849686029222276,12.960914844936793,37.013373819986974
1,vector_path,35.81909942626953,104.61402893066406,36.807098388671875,105.09002685546875,12.636182297600639,36.90550465053982,12.984726376003689,37.07342614067925
1,vector_path,35.89440155029297,104.77152252197266,36.876399993896484,105.259521484375,12.662747213575575,36.961064889695905,13.00917444229126,37.13322007921007
1,vector_path,35.9718017578125,104.92948913574219,36.94880294799805,105.427490234375,12.690052286783853,37.0167920006646,13.034716595543754,37.19247572157118
1,vector_path,36.05160140991211,105.08672332763672,37.02360153198242,105.5947265625,12.718203830718993,37.072260729471836,13.061103873782686,37.25147298177083
1,vector_path,36.13349914550781,105.24192810058594,37.0994987487793,105.76092529296875,12.747095531887478,37.12701352437337,13.087878725263806,37.31010420057508
1,vector_path,36.217498779296875,105.39759826660156,37.178497314453125,105.92559814453125,12.77672873602973,37.18193049960666,13.11574766370985,37.36819712320963
1,vector_path,36.30339813232422,105.55223083496094,37.2593994140625,106.0892333984375,12.807032118903265,37.23648143344455,13.144288126627602,37.42592400444878
1,vector_path,36.39099884033203,105.70552825927734,37.34199905395508,106.25152587890625,12.837935702006021,37.29056135813395,13.173427444034152,37.483177185058594
1,vector_path,36.480499267578125,105.85829162597656,37.42649841308594,106.41229248046875,12.86950946384006,37.34445287916395,13.203236940171982,37.53989206949869
1,vector_path,36.57170104980469,106.00990295410156,37.51270294189453,106.5718994140625,12.90168342590332,37.39793798658582,13.233647982279459,37.596197848849826
1,vector_path,36.66419982910156,106.15973663330078,37.60020065307617,106.729736328125,12.934314939710827,37.45079597896999,13.26451523039076,37.651879204644096
1,vector_path,36.758399963378906,106.30828857421875,37.68939971923828,106.88629150390625,12.967546653747558,37.50320180257161,13.295982678731281,37.707108391655815
1,vector_path,36.85390090942383,106.4564437866211,37.78089904785156,107.04144287109375,13.00123726526896,37.555467669169104,13.328261608547633,37.7618423461914
1,vector_path,36.95050048828125,106.60169982910156,37.872501373291016,107.1947021484375,13.03531545003255,37.606710773044156,13.36057687335544,37.81590881347656
1,vector_path,37.04840087890625,106.74649810791016,37.966400146484375,107.34649658203125,13.069852532280814,37.6577923880683,13.393702273898652,37.8694585164388
1,vector_path,44.647098541259766,112.29218292236328,45.00709915161133,113.32818603515625,15.750504207611083,39.61418675316704,15.877504422929551,39.979665629069004
1,vector_path,44.93439865112305,112.38062286376953,45.271400451660156,113.42462158203125,15.851857301923962,39.64538639916314,15.970744048224553,40.01368594699436
