page_number,type,x0,y0,x1,y1,x0mm,y0mm,x1mm,y1mm
1,image_block,18.06,-1.01,596.47,843.08,6.3711666666666655,-0.35630555555555554,210.4213611111111,297.41988888888886
1,text_block,81.5,559.89,347.29,617.87,28.751388888888886,197.51674999999997,122.51619444444444,217.97080555555553
1,text_block,119.06,633.62,315.17,650.57,42.00172222222222,223.52705555555553,111.18497222222221,229.5066388888889
1,text_block,119.06,670.49,376.52,697.07,42.00172222222222,236.53397222222222,132.82788888888888,245.91080555555556
